Doc_id,Question,Answer
62.txt_chunk6,Đại học Carnegie Mellon được thành lập vào khoảng thời gian nào?,Cuối thế kỷ 19 (tài liệu không cung cấp thông tin chính xác về năm thành lập)
62.txt_chunk7,Đại học Carnegie Mellon được thành lập tại thành phố nào?,Pittsburgh
62.txt_chunk7,"Sự kiện nào có thể liên quan đến từ khóa ""F"" và ""3""?",Có thể là một sự kiện thể thao hoặc một sự kiện khác liên quan đến số
62.txt_chunk8,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk8,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk8,Ngày nào có sự kiện được tổ chức tại PPG Arena?,Không thể xác định được ngày cụ thể
62.txt_chunk8,Địa chỉ của PPG Arena là ở đâu?,Không thể xác định được địa chỉ cụ thể
62.txt_chunk8,Thành phố nào có sự kiện được tổ chức tại PPG Arena?,Pittsburgh
62.txt_chunk9,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk9,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk9,Địa điểm tổ chức sự kiện có liên quan đến tài liệu là gì?,PPG Arena (có thể)
62.txt_chunk9,Ngày tổ chức sự kiện có liên quan đến tài liệu là gì?,13 tháng 10
62.txt_chunk10,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk10,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk10,Địa điểm tổ chức sự kiện có thể là PPG Arena?,Có
62.txt_chunk10,Sự kiện có thể diễn ra vào ngày 13 tháng 10?,Có thể
62.txt_chunk10,Đại học Carnegie Mellon có campus tại Pittsburgh?,Có
62.txt_chunk10,Thành phố Pittsburgh có liên quan đến sự kiện thể thao?,Có  Q
62.txt_chunk11,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk11,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk11,Phí tham dự sự kiện tại PPG Arena vào ngày 13 tháng 10 là bao nhiêu?,Không có thông tin cụ thể trong tài liệu
62.txt_chunk12,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk12,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt  Q
62.txt_chunk13,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk13,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk13,Địa điểm tổ chức sự kiện có liên quan đến tài liệu là gì?,PPG Arena
62.txt_chunk13,Ngày tổ chức sự kiện tại PPG Arena có liên quan đến tài liệu là ngày nào?,13 tháng 10
62.txt_chunk13,Thành phố có liên quan đến Đại học Carnegie Mellon là gì?,Pittsburgh  Q
62.txt_chunk14,Đại học Carnegie Mellon được thành lập tại đâu?,Pittsburgh
62.txt_chunk14,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk15,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk15,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk15,Phí tham dự sự kiện tại PPG Arena vào ngày 13 tháng 10 là bao nhiêu?,Không có thông tin cụ thể về phí tham dự sự kiện
62.txt_chunk15,Địa điểm tổ chức sự kiện là ở đâu?,PPG Arena
62.txt_chunk15,Thành phố nào có địa điểm tổ chức sự kiện?,Pittsburgh
62.txt_chunk16,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk16,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk16,Địa điểm tổ chức sự kiện là ở đâu?,PPG Arena (tên thực sự có thể không rõ ràng trong tài liệu)
62.txt_chunk17,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk17,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk17,PPG Arena nằm ở thành phố nào?,Pittsburgh
62.txt_chunk17,Sự kiện nào đã diễn ra tại PPG Arena vào ngày 13 tháng 10?,"(Chưa rõ, cần thêm thông tin)"
62.txt_chunk17,Đại học Carnegie Mellon có tên gọi ban đầu là gì?,
62.txt_chunk18,Sự kiện nào được tổ chức tại PPG Arena vào ngày 13 tháng 10?,Không có thông tin cụ thể về sự kiện này trong tài liệu
62.txt_chunk18,Thành phố nào được liên quan đến Đại học Carnegie Mellon?,Pittsburgh
62.txt_chunk18,Đại học Carnegie Mellon được thành lập vào năm nào?,1900
62.txt_chunk18,Địa điểm nào được liên quan đến sự kiện trong tài liệu?,PPG Arena
62.txt_chunk18,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk19,Thành phố nào được đề cập trong tài liệu?,Pittsburgh
62.txt_chunk19,Đại học nào được đề cập trong tài liệu?,Đại học Carnegie Mellon
62.txt_chunk19,Sự kiện nào được tổ chức tại PPG Arena?,Không rõ (không có thông tin cụ thể về
62.txt_chunk20,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk20,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk20,Thứ tự các ký tự trong tài liệu trên là gì?,Không thể xác định được thứ tự các ký tự
62.txt_chunk22,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk22,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk22,Địa điểm nào được đề cập trong tài liệu?,PPG Arena
62.txt_chunk22,Ngày cụ thể nào được đề cập trong tài liệu?,Ngày 13 tháng 10
62.txt_chunk22,Thành phố nào được đề cập trong tài liệu?,Pittsburgh
62.txt_chunk23,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk23,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk23,Địa điểm tổ chức sự kiện có thể liên quan đến nơi nào?,PPG Arena
62.txt_chunk23,Thành phố nào được liên quan đến sự kiện?,Pittsburgh
62.txt_chunk23,Ngày nào có thể liên quan đến sự kiện?,13 tháng 10
62.txt_chunk23,Năm nào có thể liên quan đến sự kiện?,Không rõ
62.txt_chunk24,Địa điểm nào được đề cập trong tài liệu?,"PPG Arena, Pittsburgh"
62.txt_chunk24,Tháng 10 có bao nhiêu ngày?,31
62.txt_chunk24,Đại học nào được đề cập trong tài liệu?,Đại học Carnegie Mellon
62.txt_chunk24,Thành phố nào được đề cập trong tài liệu?,Pittsburgh
62.txt_chunk25,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk25,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk25,Sự kiện nào đã diễn ra tại PPG Arena vào ngày 13 tháng 10?,Không rõ (tài liệu không cung cấp thông tin về sự kiện cụ thể)
62.txt_chunk25,Địa điểm nào được đề cập trong tài liệu?,"PPG Arena, Pittsburgh"
62.txt_chunk26,"Sự kiện nào được tổ chức tại địa điểm có tên là ""PPG Arena""?",Sự kiện không rõ ràng
62.txt_chunk27,Đại học Carnegie Mellon có phải là một trong những trường đại học nổi tiếng tại Pittsburgh không?,Có
62.txt_chunk27,Thành phố Pittsburgh có phải là một thành phố quan trọng tại bang Pennsylvania không?,Có
62.txt_chunk27,PPG Arena có phải là một trong những sân vận động nổi tiếng tại Pittsburgh không?,Có
62.txt_chunk28,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk28,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk28,Địa điểm tổ chức sự kiện là gì?,PPG Arena
62.txt_chunk28,Tháng nào có sự kiện tại PPG Arena?,Tháng 10
62.txt_chunk28,Thành phố Pittsburgh có bao nhiêu quận?,90
62.txt_chunk28,Đại học Carnegie Mellon có bao nhiêu trường học?,9
62.txt_chunk29,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk29,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk29,Địa điểm nào được đề cập trong tài liệu?,PPG Arena
62.txt_chunk29,Ngày tháng nào được đề cập trong tài liệu?,13 tháng 10
62.txt_chunk29,Người nào được đề cập trong tài liệu?,"Không rõ, nhưng có"
62.txt_chunk30,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk30,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk30,Phí tham dự sự kiện tại PPG Arena vào ngày 13 tháng 10 là bao nhiêu?,Không có thông tin cụ thể trong tài liệu
62.txt_chunk30,Địa điểm của Đại học Carnegie Mellon là ở đâu?,"Pittsburgh, Pennsylvania"
62.txt_chunk31,Đại học Carnegie Mellon được thành lập tại thành phố nào?,Pittsburgh
62.txt_chunk31,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk31,Địa điểm nào thường tổ chức các sự kiện thể thao và văn hóa?,PPG Arena
62.txt_chunk31,Thành phố Pittsburgh có diện tích khoảng bao nhiêu km2?,"151,6"
35.txt_chunk1,Đại học Quốc gia Hà Nội được thành lập vào thời điểm nào?,Không rõ trong tài liệu
35.txt_chunk1,Đại học Quốc gia Hà Nội có bao nhiêu trường đại học thành viên?,Không rõ trong tài liệu
35.txt_chunk1,Đại học Quốc gia Hà Nội có bao nhiêu cơ sở trực thuộc?,Không rõ trong tài liệu
35.txt_chunk1,Đại học Quốc gia Hà Nội có bao nhiêu đơn vị nghiên cứu khoa học trực thuộc?,Không rõ trong tài liệu
40.txt_chunk1,"Đại học Quốc gia Hà Nội tổ chức Hội nghị Khoa học, công nghệ và đổi mới sáng tạo thường niên năm 2023 vào ngày nào?",15/6/2023
40.txt_chunk1,Giám đốc Đại học Quốc gia Hà Nội Lê Quân đồng chủ trì hội nghị với ai?,Phó Giám đốc ĐHQGHN Phạm Bảo Sơn và Trưởng ban Khoa học - Công nghệ ĐHQGHN Vũ Văn Tích
40.txt_chunk2,ĐHQGHN có tên trong danh sách 70 cơ sở giáo dục hàng đầu thế giới về giáo dục có chất lượng vào năm nào?,2022
40.txt_chunk2,Giám đốc ĐHQGHN Lê Quân đề nghị triển khai các chính sách đột phá trong lĩnh vực KH&CN vào thời điểm nào?,Hội nghị Giám đốc ĐHQGHN
40.txt_chunk2,ĐHQGHN thu hút được hơn 100 nhà khoa học trẻ trình độ cao về làm việc vào năm nào?,2022
40.txt_chunk3,"Ông Nguyễn Nam Hải, Vụ trưởng Vụ Kế hoạch - Tài chính, Bộ KH&CN, đang tham gia hội nghị nào?",Hội nghị về đổi mới tư duy và phát triển khoa học công nghệ
40.txt_chunk3,"Ông Nguyễn Nam Hải, Vụ trưởng Vụ Kế hoạch - Tài chính, Bộ KH&CN, nhấn mạnh tầm quan trọng của việc gì?",Tạo môi trường thuận lợi cho các nhà khoa học
40.txt_chunk4,Thứ trưởng Bộ KH&CN Nguyễn Hoàng Giang phát biểu tại hội nghị nào?,"Hội nghị Thứ trưởng Bộ KH&CN Nguyễn Hoàng Giang đề nghị ĐHQGHN cần phát huy vai trò, sứ mệnh của mình để triển khai thực hiện Chiến lược phát triển khoa học, công nghệ và đổi mới sáng tạo quốc gia"
40.txt_chunk4,Đại học Quốc gia Hà Nội được thành lập ở đâu?,Không có thông tin trong tài liệu về việc thành lập của Đại học Quốc gia Hà Nội
40.txt_chunk5,Hội nghị được tổ chức tại đâu?,ĐHQGHN (Đại học Quốc gia Hà Nội)
40.txt_chunk5,Tập đoàn T&T đã trao tài trợ hỗ trợ thành lập Công ty cổ phần đầu tư phát triển ĐHQGHN (VNUHN-Holdings) trị giá bao nhiêu?,5 tỷ đồng
21.txt_chunk1,Đại học Quốc gia Hà Nội có bao nhiêu trường đại học thành viên?,"Không rõ, cần xem lại tài liệu"
21.txt_chunk1,Thành phố Hà Nội nằm ở khu vực nào?,"Đông Bắc hoặc Đông Nam, không rõ cụ thể, cần xem lại tài liệu"
21.txt_chunk1,Đại học Quốc gia Hà Nội có bao nhiêu đơn vị nghiên cứu khoa học?,"Không rõ, cần xem lại tài liệu"
21.txt_chunk1,Thành phố Hà Nội có diện tích khoảng bao nhiêu km2?,"Không rõ, cần xem"
21.txt_chunk2,"Thời gian chậm nhất để thông báo kết quả kiểm tra hoặc nộp tiểu luận, bài tập lớn là bao lâu?",Một tuần
21.txt_chunk2,Trọng số tối thiểu của điểm thi kết thúc môn học là bao nhiêu phần trăm?,60%
21.txt_chunk2,Hình thức thi kết thúc môn học có thể bao gồm các hình thức nào sau đây?,"Thi viết, vấn đáp, làm thực tập hoặc kết hợp các hình thức trên"
21.txt_chunk3,Lịch thi của kỳ thi chính phải được thông báo trước bao lâu?,ít nhất 1 tháng
21.txt_chunk3,Số cán bộ coi thi tối thiểu cho phòng thi dưới 25 sinh viên là bao nhiêu?,1
21.txt_chunk3,Số cán bộ coi thi tối thiểu cho phòng thi trên 25 sinh viên là bao nhiêu?,2
21.txt_chunk3,Số lượng đề thi trong bộ đề thi của môn thi vấn đáp là bao nhiêu?,nhiều
21.txt_chunk4,Chủ nhiệm khoa hoặc Chủ nhiệm bộ môn (đối với Khoa trực thuộc) đề nghị điều gì?,"Khoá luận, đồ án tốt nghiệp"
21.txt_chunk4,"Điểm khoá luận, đồ án tốt nghiệp được thông báo công khai khi nào?","Chậm nhất một tuần sau khi các Hội đồng chấm khóa luận, đồ án tốt nghiệp hoàn thành nhiệm vụ"
21.txt_chunk5,Ký hiệu I trong hệ thống đánh giá mức điểm của sinh viên đại học có nghĩa là gì?,Chưa đủ điểm đánh giá bộ phận
21.txt_chunk5,Ký hiệu X trong hệ thống đánh giá mức điểm của sinh viên đại học có nghĩa là gì?,Chưa nhận được kết quả thi kết thúc môn học
21.txt_chunk6,"Học kỳ nào được dùng để xét buộc thôi học, xếp loại học lực, xếp hạng tốt nghiệp?",Học kỳ chính
21.txt_chunk6,Điều 49 của quy chế này liên quan đến việc gì?,Xử lý học vụ
21.txt_chunk6,Khi nào đơn vị đào tạo thực hiện xử lý học vụ?,Sau mỗi học kỳ chính
18.txt_chunk1,Trường Đại học Giáo dục được thành lập vào ngày tháng năm nào?,03/04/2009
18.txt_chunk1,Thành phố Hà Nội có liên quan đến việc thành lập trường Đại học Giáo dục như thế nào?,Hà Nội là nơi đặt trụ sở của trường Đại học Giáo dục
18.txt_chunk1,Đại học Quốc gia Hà Nội có bao nhiêu thành viên?,"Có ít nhất một thành viên, đó là Trường Đại học Giáo dục"
18.txt_chunk2,Trường Đại học Giáo dục – ĐHQGHN được thành lập theo Quyết định số 1481/TCCB vào ngày nào?,21/12/1999
18.txt_chunk2,Khoa Sư phạm được chính thức thành lập theo Quyết định số 1481/TCCB của Giám đốc ĐHQGHN vào ngày nào?,21/12/1999
18.txt_chunk3,Đại học Quốc gia Hà Nội được thành lập tại thành phố nào?,Hà Nội
18.txt_chunk3,Đại học Quốc gia Hà Nội có trường đại học Giáo dục?,Có
18.txt_chunk3,Đại học Quốc gia Hà Nội có trường đại học và cao đẳng công lập tại Việt Nam?,Có
46.txt_chunk1,Trường ĐHKHTN đã triển khai áp dụng phương thức đào tạo tín chỉ từ năm nào?,2007
46.txt_chunk1,Trường ĐHKHTN đã chuyển đổi toàn bộ khung chương trình đào tạo ở bậc đại học và sau đại học để phù hợp với phương thức đào tạo tín chỉ từ năm nào?,2010
46.txt_chunk1,Số lượng sinh viên hệ đại học chính quy của Trường ĐHKHTN hàng năm giữ ổn định là bao nhiêu?,"Không rõ ràng trong tài liệu, nhưng có"
46.txt_chunk2,Trường ĐHKHTN đã thực hiện đề án đào tạo ngành Hóa học với đối tác là trường đại học nào?,Trường đại học Illinois at Urbana and Champaign (Hoa Kỳ)
46.txt_chunk2,"Năm 2007, Trường đã tổng kết bao nhiêu năm đào tạo CNKHTN?",10 năm
46.txt_chunk2,Số lượng sinh viên tốt nghiệp của Trường ĐHKHTN thường xuyên được chuyển tiếp học sau đại học là khoảng bao nhiêu phần trăm?,50%
46.txt_chunk3,Trường Đại học Khoa học Tự nhiên được thành lập từ bao lâu?,Hơn 55 năm
46.txt_chunk3,Trường Đại học Khoa học Tự nhiên quản lý và tổ chức đào tạo bao nhiêu chuyên ngành đào tạo thạc sĩ?,46
46.txt_chunk3,Trường Đại học Khoa học Tự nhiên quản lý và tổ chức đào tạo bao nhiêu chuyên ngành đào tạo tiến sĩ?,48
57.txt_chunk1,Đại học Quốc gia Hà Nội (ĐHQGHN) tuyển sinh bao nhiêu chỉ tiêu đại học chính quy năm 2024?,18.000
57.txt_chunk1,ĐHQGHN tuyển sinh trên phạm vi cả nước và quốc tế vào bao nhiêu ngành/CTĐT?,148
57.txt_chunk1,"Năm 2024, ĐHQGHN mở bao nhiêu CTĐT mới?",07
57.txt_chunk1,Địa chỉ trang thông tin điện tử của ĐHQGHN là gì?,http://v
57.txt_chunk2,Đại học Quốc gia Hà Nội có bao nhiêu phương thức tuyển sinh?,5 phương thức
57.txt_chunk2,Mã đăng ký của ĐHQGHN với tổ chức thi SAT là gì?,7853-Vietnam National University-Hanoi
57.txt_chunk2,Thí sinh cần đạt tối thiểu bao nhiêu điểm trong kỳ thi chuẩn hóa ACT để được xét tuyển?,22/36 điểm
57.txt_chunk2,Có bao nhiêu tổ hợp môn xét tuyển đại học năm 2024 của ĐHQGHN?,39 tổ
57.txt_chunk3,Ngưỡng đầu vào đối với thí sinh sử dụng chứng chỉ A-Level tổ hợp kết quả 3 môn thi theo các khối thi quy định của ngành đào tạo tương ứng là bao nhiêu?,Đảm bảo mức điểm mỗi môn thi đạt tối thiểu 60/100 điểm trở lên
57.txt_chunk3,Ngưỡng đầu vào đối với thí sinh sử dụng chứng chỉ tiếng Anh IELTS là bao nhiêu?,Tối thiểu 5.5
57.txt_chunk4,Thí sinh nộp hồ sơ xét tuyển thẳng và ưu tiên xét tuyển theo Điều 8 Quy chế tuyển sinh về đơn vị đào tạo trước khi nào?,trước 17h 00 ngày 30/6/2024
57.txt_chunk4,Thời gian thí sinh xác nhận nhập học trên Hệ thống của Bộ GD&ĐT?,từ ngày 22-31/7/2024
57.txt_chunk4,Thời gian nộp lệ phí xét tuyển trực tuyến?,từ ngày 31/7/2024 đến
57.txt_chunk5,"Thí sinh đoạt giải nhất, nhì, ba trong kỳ thi chọn học sinh giỏi quốc gia có thể được xét tuyển thẳng vào bậc đại học của ĐHQGHN theo ngành phù hợp với môn thi là bao nhiêu?",Có thể
57.txt_chunk5,Thí sinh đạt giải chính thức trong các kỳ thi Olympic bậc THPT của ĐHQGHN có thể được ưu tiên xét tuyển vào bậc đại học tại ĐHQGHN nếu đáp ứng các tiêu chí sau?,Có
57.txt_chunk6,"Năm 2021, Thủ tướng chính phủ quy định về cơ chế thu, quản lý học phí đối với cơ sở giáo dục thuộc hệ thống giáo dục quốc dân và chính sách miễn, giảm học phí, hỗ trợ chi phí học tập là năm nào?",2021
57.txt_chunk6,Số lượng chỉ tiêu tuyển sinh bằng kép dành cho ĐHQGHN năm 2024 là bao nhiêu?,875
57.txt_chunk7,ĐHQGHN được xếp hạng ở vị trí nào trong bảng xếp hạng QS World University Rankings: Sustainability 2025?,325 thế giới
57.txt_chunk7,Kỳ xếp hạng QS World University Rankings: Sustainability 2025 bao gồm bao nhiêu cơ sở giáo dục đại học?,1.751
57.txt_chunk8,ĐHQGHN lần thứ 4 liên tiếp đứng trong nhóm 801-1000 các trường đại học tốt nhất toàn cầu vào thời điểm nào?,Ngày 09/6/2021
57.txt_chunk8,"ĐHQGHN có điểm xếp hạng tăng dần trong ba lần xếp hạng trước, bao gồm năm nào?","2019, 2020, 2021"
56.txt_chunk1,Đại học Khoa học Xã hội và Nhân văn (ĐHKHXH&NV) được thành lập vào năm nào?,1945
56.txt_chunk1,"Số lượng sinh viên, học viên của ĐHKHXH&NV là bao nhiêu?",~11.000
56.txt_chunk1,ĐHKHXH&NV có một tạp chí Khoa học Xã hội và Nhân văn được nâng điểm trong danh mục TCKH được tính điểm của Hội đồng Giáo sư Nhà nước vào thời điểm nào?,
56.txt_chunk2,Trường Đại học Khoa học Xã hội và Nhân văn có địa chỉ ở đâu?,"336 Nguyễn Trãi, Thanh Xuân Trung, Thanh Xuân, Hà Nội"
56.txt_chunk2,Số lượng chương trình đào tạo của Trường Đại học Khoa học Xã hội và Nhân văn là bao nhiêu?,"28 chương trình cử nhân/kĩ sư, 36 chương trình thạc sĩ, 31 chương trình tiến sĩ"
28.txt_chunk1,"Năm 2019, Trường Đại học Ngoại ngữ – Đại học Quốc gia Hà Nội (ĐHQGHN) có học bổng gì dành cho thủ khoa ngành Kinh tế – Tài chính?",ULIS-SNHU TALENT
28.txt_chunk1,Ngành Kinh tế – Tài chính của Trường Đại học Ngoại ngữ – ĐHQGHN được khen ngợi trong kì thi tuyển sinh đại học chính quy năm 2019.,Có
28.txt_chunk2,Học bổng ULIS-SNHU STAR-UP dành cho sinh viên nào?,Sinh viên có điểm thi THPTQG cao (sau thủ khoa) và các sinh viên đạt trình độ tiếng Anh B2 trở lên
28.txt_chunk2,Số tiền học bổng ULIS-SNHU STAR-UP là bao nhiêu?,15.000.000đ
23.txt_chunk1,Kỳ thi tuyển sinh vào lớp 10 sẽ diễn ra vào ngày nào?,10 - 11/6
23.txt_chunk1,Số học sinh lớp 9 năm học 2022-2023 là bao nhiêu?,129.210
23.txt_chunk1,Số học sinh có chỗ học lớp 10 công lập là bao nhiêu?,72.000
23.txt_chunk1,Tỷ lệ học sinh có chỗ học lớp 10 công lập là bao nhiêu?,"55,7%"
23.txt_chunk2,Năm học hiện tại của em có bao nhiêu lớp học?,3 lớp
23.txt_chunk2,Số lượng học sinh có cơ hội đỗ vào lớp 10 công lập chiếm tỷ lệ thấp nhất trong 4 năm trở lại đây?,Năm nay
23.txt_chunk2,Số chỉ tiêu học sinh vào trường THPT công lập so với năm trước là bao nhiêu?,1.000
23.txt_chunk2,Địa phương có tỷ lệ chọi lớp 10 vào 114 trường công lập được công bố?,TP.HCM
23.txt_chunk3,Tỷ lệ chọi vào lớp 10 chuyên Anh Trường Chuyên Sư phạm 1 là bao nhiêu?,1 'chọi' hơn 29
23.txt_chunk3,Tỷ lệ chọi vào lớp 10 trường chuyên nóng nhất TP.HCM là bao nhiêu?,1 'chọi' 5
23.txt_chunk3,Số lượng trường chuyên được đề cập trong bài báo là bao nhiêu?,2
23.txt_chunk3,Tên của tạp chí được đề cập trong bài báo là gì?,Báo VietNam
68.txt_chunk1,Trường Khoa học liên ngành và Nghệ thuật - Đại học Quốc gia Hà Nội có địa chỉ tại đâu?,"Nhà G7, Đại học Quốc gia Hà Nội, số 144 Xuân Thủy, Cầu Giấy, Hà Nội"
68.txt_chunk1,Số điện thoại của Trường Khoa học liên ngành và Nghệ thuật - Đại học Quốc gia Hà Nội là gì?,0243 754 7716 | 0981290448
68.txt_chunk2,Đại học nào đào tạo chương trình Thạc sĩ Công nghiệp văn hóa và sáng tạo?,Đại học Quốc gia Hà Nội (VNU)
68.txt_chunk2,Chương trình đào tạo nào liên quan đến biến đổi khí hậu và phát triển bền vững?,Tiến sĩ Biến đổi khí hậu và Phát triển bền vững
68.txt_chunk2,Địa điểm nào tổ chức trải nghiệm thực tế cho sinh viên?,Không rõ (không có thông tin cụ thể trong tài liệu)
