Doc_id,Question,Answer,Generated_Answer
45.txt,Trường Đại học Khoa học Xã hội và Nhân văn (VNU-USSH) tổ chức Kỳ thi Olympic bậc THPT các môn Ngữ văn và Lịch sử vào ngày nào?,27/10/2024,27/10/2024
60.txt,Trường Đại học Việt Nhật có hotline và email để hỗ trợ đào tạo?,"Có, hotline (+84) 966 954 736 (+84) 969 638 426 và email admission@vju.ac.vn và info@vju.ac.vn",Tôi không biết.
20.txt,Thành phố Hà Nội có diện tích tự nhiên là bao nhiêu?,"923,76 km2",Tôi không biết.
63.txt,VJU có cơ sở thứ hai ở địa điểm nào?,"Trường Đại học Việt Nhật, Khu đô thị Đại học Quốc gia, Hoà Lạc, Thạch Thất, Hà Nội",Trường Đại học Việt Nhật có cơ sở thứ hai tại Trung tâm Phát triển Hệ thống và Công
14.txt,Số lượng Trường đại học thành viên thuộc Đại học Quốc gia Hà Nội là bao nhiêu?,09,9
2.txt,ĐHQGHN có bao nhiêu trung tâm đào tạo và nghiên cứu?,10,Tôi không biết.
17.txt,Trường Đại học Tổng hợp Hà Nội được thành lập theo Quyết định số 2183/TC ngày 4/6/1956 của Chính phủ.,1956,1956
66.txt,Đại học Việt Nhật có hotline là gì?,(+84) 966 954 736 (+84) 969 638 426,(+84) 966 954 736
40.txt,"ĐHQGHN đã ban hành nhiều cơ chế, chính sách trọng dụng, đãi ngộ các nhà khoa học, tạo động lực thúc đẩy phát triển các tiềm lực KH&CN và đổi mới sáng tạo. Các chính sách này bao gồm?","Đầu tư cho phòng thí nghiệm/trung tâm nghiên cứu trọng điểm, Nhóm nghiên cứu mạnh; Hỗ trợ công bố quốc tế; Hỗ trợ cán bộ nghiên cứu trẻ; Thu hút nhà khoa học xuất sắc về làm việc tại ĐHQGHN; Hỗ trợ hợp tác song phương và đa phương cho các dự án hợp tác quốc tế lớn và cho các đối tác cùng đầu tư kinh phí; Hỗ trợ phát triển doanh nghiệp spin-off; Trao thưởng và vinh danh cho nhà khoa học xuất sắc; Thúc đẩy liên kết với doanh nghiệp/phát triển hệ sinh thái đổi mới sáng tạo","Cơ chế, chính sách trọng dụng, đãi ngộ các nhà khoa học, tạo động lực"
39.txt,Đại học Quốc gia Hà Nội có bao nhiêu cơ sở đào tạo đại học có tư cách pháp nhân của nước ngoài?,Không rõ trong tài liệu,Tôi không biết.
37.txt,Chỉ tiêu tuyển sinh của trường Đại học Việt Nhật năm 2025 là bao nhiêu?,450,Tôi không biết.
16.txt,Số lượng chỉ tiêu đào tạo thạc sĩ và tiến sĩ mà ĐHQGHN tuyển sinh vào năm 2025 là bao nhiêu?,Hơn 3.600 (đào tạo thạc sĩ) và hơn 500 (đào tạo tiến sĩ),Tôi không biết.
3.txt,Đại học Quốc gia Hà Nội có trụ sở tại đâu?,Hà Nội,"144 đường Xuân Thủy, Quận Cầu Giấy, Hà Nội"
59.txt,"Địa chỉ của Trường Khoa học liên ngành và Nghệ thuật, Đại học Quốc gia Hà Nội là Nhà G7?",Có,Không.
46.txt,Email của Trường ĐHKHTN là gì?,hus@vnu.edu.vn - admin@hus.edu.vn,Tôi không biết.
16.txt,Năm nào ĐHQGHN có nhiều lĩnh vực được xếp hạng trong nhóm từ 400 đến 500 thế giới theo bảng xếp hạng QS by subject 2025?,Năm 2025,Tôi không biết.
30.txt,"Chương trình Tiến sĩ chuyên ngành Tiếng Việt và Nghiên cứu Việt Nam bắt đầu tuyển sinh tại Trường Đại học Khoa học Xã hội và Nhân văn, ĐHQGHN từ kỳ tuyển sinh đợt 2 năm 2024 vào ngày nào?",28/10/2024,11/09/2024 01:10:00 PM
58.txt,Đại học Quốc gia Hà Nội được thành lập vào năm nào?,"Không rõ, nhưng có thể liên quan đến văn bản ""Website kỷ niệm 100 năm ĐHQGHN""",1993
12.txt,Đại học Quốc gia Hà Nội có địa chỉ tại đâu?,"Khu Đô thị đại học, Đại học Quốc gia Hà Nội tại Hoà Lạc, Hà Nội","144 đường Xuân Thủy, Quận Cầu Giấy, Hà Nội"
63.txt,VJU có hotline nào để liên hệ?,(+84) 966 954 736 hoặc (+84) 969,0919 405 885 (Hà Nội) - 0919 435 885 (
18.txt,Trường Đại học Giáo dục có bao nhiêu khoa?,6,6
37.txt,Số lượng sinh viên được tuyển vào trường Đại học Y Dược năm 2025 là bao nhiêu?,720,Tôi không biết.
57.txt,ĐHQGHN có bao nhiêu chỉ tiêu tuyển sinh bằng kép năm 2024?,875,Chỉ tiêu BSBA TROY
67.txt,"Số điện thoại của Trường Khoa học liên ngành và Nghệ thuật, Đại học Quốc gia Hà Nội là 098.129.0448.",Có,098.129.0448
50.txt,"Địa chỉ của Trường Đại học Khoa học Xã hội và Nhân văn, ĐHQGHN là đâu?","336 Nguyễn Trãi, Thanh Xuân Trung, Thanh Xuân, Hà Nội","336 Nguyễn Trãi, Thanh Xuân Trung, Thanh Xuân, Hà Nội"
3.txt,Đại học Quốc gia Hà Nội có bao nhiêu đơn vị hỗ trợ và dịch vụ trực thuộc?,8,Tôi không biết.
8.txt,ĐHQGHN đã đưa học phần công nghệ số và trí tuệ nhân tạo vào giảng dạy từ năm nào?,Năm nhất,Tôi không biết.
48.txt,Đại học Vietnam Japan University có các cơ sở đào tạo khác nhau ở đâu?,"Hoa Lac, Thach That District, Ha Noi, Vietnam",Tôi không biết.
36.txt,Thành phố Hà Nội là thủ đô của quốc gia nào?,Việt Nam,Tôi không biết.
6.txt,Tổ chức Quacquarelli Symonds (QS) đã công bố kết quả Bảng xếp hạng đại học thế giới QS World University Rankings 2025 (QS WUR 2025) vào ngày nào?,5/6/2024,09/6/2022
30.txt,Vị trí Quán quân của Vòng Chung kết “Đại sứ Văn hóa Du lịch sinh viên năm 2024” là ai?,Vi Thị Thuỳ Trang,Vi Thị Thuỳ Trang
31.txt,ĐHQGHN tuyển sinh các hình thức xét tuyển nào vào năm 2019?,(1) Thí sinh sử dụng kết quả kì thi THPT quốc gia; (2) Thí sinh có chứng chỉ quốc tế A-Level; (3) Thí sinh có kết quả trong kỳ thi chuẩn hóa SAT; (4) Thí sinh có chứng chỉ tiếng Anh IELTS,Thí sinh sử dụng kết quả kì thi THPT quốc gia; Thí sinh có chứng chỉ quốc
67.txt,Đại học Quốc gia Hà Nội có tên khác là gì?,Không rõ,Trường Đại học Quốc gia Hà Nội
8.txt,Giám đốc ĐHQGHN đã ký Quyết định số 3626/QĐ-ĐHQGHN vào ngày nào?,21/10/2022,Tôi không biết.
65.txt,Trường Đại học Việt Nhật (VJU) có cơ sở tại đâu?,VJU có cơ sở tại Hà Nội và Hoà Lạc,"144 đường Xuân Thủy, Quận Cầu Giấy, Hà Nội"
10.txt,Thời gian đào tạo được kéo dài khi có lý do chính đáng nhưng tổng thời gian đào tạo không vượt quá bao lâu?,06 năm (72 tháng),Tôi không biết.
13.txt,Đại học Quốc gia Hà Nội (ĐHQGHN) được thành lập vào năm nào?,"1994 (không rõ trong tài liệu, nhưng theo thông tin chung)",1993
19.txt,Phương thức xét tuyển sử dụng kết quả thi tốt nghiệp THPT năm 2025 có thang điểm xét tuyển là 30 điểm?,Có,Không
24.txt,Đại học Carnegie Mellon được thành lập năm nào?,1900,Tôi không biết.
66.txt,Đại học Việt Nhật có số điện thoại là gì?,(+84) 966 954 736 (+84) 969 638 426,Tôi không biết.
2.txt,ĐHQGHN có bao nhiêu đơn vị phục vụ đào tạo?,10,15
18.txt,Trường Đại học Giáo dục có bao nhiêu giảng viên?,118,Tôi không biết.
5.txt,Đại học Quốc gia Hà Nội có bao nhiêu trường thành viên trực thuộc?,Không có thông tin cụ thể trong tài liệu,09
64.txt,Trường Đại học Việt Nhật được thành lập năm nào?,Năm 2008,1186/QĐ-TTg ngày 21/7/2014
65.txt,Thông tin về học phí và học bổng của VJU được cập nhật vào thời điểm nào?,Thông tin về học phí và học bổng của VJU được cập nhật thường xuyên,Tôi không biết.
12.txt,Số điện thoại của Trường Quốc tế là số nào?,024.3557.5992,024.3557.5992
10.txt,Số lượng nghiên cứu sinh được hướng dẫn độc lập bởi giáo sư là tối đa bao nhiêu?,07,3
65.txt,Thông tin về các chương trình đào tạo của VJU được cập nhật vào thời điểm nào?,Thông tin về các chương trình đào tạo của VJU được cập nhật thường xuyên,Tôi không biết.
21.txt,Địa chỉ liên hệ của Đại học Quốc gia Hà Nội là gì?,Không có thông tin cụ thể trong tài liệu về địa chỉ liên hệ của Đại học Quốc gia Hà Nội,"144 đường Xuân Thủy, Quận Cầu Giấy, Hà Nội"
3.txt,Đại học Quốc gia Hà Nội có bao nhiêu giảng viên và nhân viên?,khoảng 4.393,Tôi không biết.
18.txt,"Trường Đại học Giáo dục, Đại học Quốc gia Hà Nội được thành lập vào năm nào?",2009,Tôi không biết.
40.txt,ĐHQGHN đã công bố hỗ trợ 06 nhóm nghiên cứu mạnh/phòng thí nghiệm trọng điểm nhằm phát triển sản phẩm bao gồm?,06 nhóm nghiên cứu mạnh/phòng thí nghiệm trọng điểm,08 nhóm nghiên cứu mạnh cấp ĐHQGHN
46.txt,Số điện thoại của Trường ĐHKHTN là bao nhiêu?,(84) 0243-8584615 / 8581419,024 35579076
5.txt,Trường Đại học Khoa học Tự nhiên thuộc ĐHQGHN có tên gọi nào khác?,Trường Đại học Khoa học Tự nhiên,Trường Đại học Khoa học Tự nhiên
12.txt,Cơ sở Xuân Thuỷ của Trường Quốc tế có địa chỉ tại đâu?,"144 Xuân Thủy, Cầu Giấy, Hà Nội",Tôi không biết.
57.txt,Thí sinh trúng tuyển (đợt 1) nhập học trước 17h 00 ngày 27/8/2024,Có thời gian cụ thể theo thông báo của các đơn vị đào tạo,Thí sinh trúng tuyển (đợt 1) nhập học trước 17h 
31.txt,ĐHQGHN tuyển sinh các ngành đào tạo thí điểm vào năm 2019?,15 ngành đào tạo thí điểm,1. Ngành Y – Dược
40.txt,"ĐHQGHN đã công bố danh sách 09 phòng thí nghiệm/trung tâm nghiên cứu trọng điểm cấp ĐHQGHN giai đoạn 2023-2028, bao gồm?",09 phòng thí nghiệm/trung tâm nghiên cứu trọng điểm cấp ĐHQGHN giai đoạn 2023-,Tôi không biết.
9.txt,"Năm học nào, Trường Đại học Giáo dục ban hành Kế hoạch đào tạo năm học 2024-2025 cho sinh viên đại học hệ chính quy khoá QH-2024-S?",Năm học 2024-2025,Tôi không biết.
61.txt,Trường Khoa học liên ngành và Nghệ thuật được thành lập tại Đại học Quốc gia Hà Nội?,Có,Không
15.txt,Địa chỉ của Trường Đại học Quốc gia Hà Nội là ở đâu?,"144 đường Xuân Thủy, Quận Cầu Giấy, Hà Nội","144 đường Xuân Thủy, Quận Cầu Giấy, Hà Nội"
5.txt,Đại học Quốc gia Hà Nội có trường Đại học Ngoại ngữ?,Có,Trường Đại học Ngoại ngữ Hà Nội
36.txt,Đại học Quốc gia Hà Nội có các trung tâm đào tạo trực thuộc hay không?,Có,Không
21.txt,"Đại học Quốc gia Hà Nội có nhiều đơn vị nghiên cứu khoa học, bao gồm các đơn vị nào?",Không có thông tin cụ thể trong tài liệu về danh sách các đơn vị nghiên cứu khoa học của Đại học Quốc gia Hà Nội,VNU-HUS; VNU-USSH; VNU-ULIS; VNU-UET
64.txt,Địa chỉ của Cơ sở Mỹ Đình của Trường Đại học Việt Nhật là gì?,"Đường Lưu Hữu Phước, Cầu Diễn, Nam Từ Liêm, Hà Nội",Không có thông tin về địa chỉ của Cơ sở Mỹ Đình của Trường Đại học Việt Nhật trong
54.txt,"Năm 2007, Trường đã tổng kết bao nhiêu năm đào tạo CNKHTN?",10,Tôi không biết.
39.txt,Đại học Quốc gia Hà Nội có bao nhiêu giảng viên và cán bộ nghiên cứu khoa học?,Không rõ trong tài liệu,Tôi không biết.
60.txt,Trường Đại học Việt Nhật có cơ sở vật chất tại khu đô thị nào?,"Khu đô thị Đại học Quốc gia, Hoà Lạc, Thạch Thất, Hà Nội",Tôi không biết.
7.txt,Trường Đại học Công nghệ - Đại học Quốc gia Hà Nội có tên tiếng Anh là gì?,University of Engineering and Technology (UET),Vietnam National University Hanoi (VNU-HUS)
37.txt,Số lượng sinh viên được tuyển vào trường Đại học Công nghệ năm 2025 tăng bao nhiêu so với năm ngoái?,940,Tôi không biết.
32.txt,Năm 2013 có ý nghĩa đặc biệt gì?,Năm 2013 là năm lần đầu tiên Luật Giáo dục đại học có hiệu lực và là năm thứ 20 ngày Chính phủ ra Quyết định thành lập ĐHQGHN,Tôi không biết.
15.txt,"Trường Đại học Quốc gia Hà Nội xét tuyển thẳng, ưu tiên xét tuyển cho những đối tượng nào?","Học sinh Trung học Phổ thông chuyên thuộc Đại học Quốc Gia Hà Nội, học sinh Trung học Phổ thông chuyên của các trường Trung học Phổ thông cấp tỉnh, thành phố trực thuộc trung ương, học sinh không chuyên của các trường Trung học Phổ thông thuộc ĐHQ",Những đối tượng được xét tuyển thẳng và ưu tiên xét tuyển thực hiện theo Quy chế và Hướng
58.txt,Đại học Quốc gia Hà Nội có bao nhiêu thủ tục hành chính trực tuyến?,"Không rõ, nhưng có thể liên quan đến ""Thủ tục hành chính trực tuyến"" trong menu",Tôi không biết.
45.txt,VNU-USSH đào tạo chương trình mới: Tiến sĩ chuyên ngành Tiếng Việt và Nghiên cứu Việt Nam bắt đầu tuyển sinh từ kỳ tuyển sinh đợt 2 năm 2024.,Có,Tiến sĩ chuyên ngành Tiếng Việt và Nghiên cứu Việt Nam
