Question,Generated_Answer
Email của Trường ĐHKHTN là gì?,trungcent@hust.edu.vn
"Năm Trường ĐHKHTN ra đời là sự tiếp nối, kế thừa và phát huy truyền thống của Trường ĐHTH Hà Nội - Trường đại học đầu tiên và lớn nhất của đất nước là năm nào?",1929
Địa chỉ của Trường ĐHKHTN là ở đâu?,Học viện Kỹ thuật Hà Nội
Đại học Quốc gia Hà Nội (ĐHQGHN) có bao nhiêu chỉ tiêu tuyển sinh đại học chính quy năm 2024?,Tôi không biết.
ĐHQGHN tuyển sinh trên phạm vi cả nước và quốc tế vào bao nhiêu ngành/CTĐT?,Hơn 100 ngành/CTĐT.
"Năm 2024, ĐHQGHN mở bao nhiêu CTĐT mới?",Tôi không biết.
ĐHQGHN có bao nhiêu chỉ tiêu tuyển sinh bằng kép năm 2024?,Tôi không biết.
Thời gian xét tuyển đợt 1 của ĐHQGHN dự kiến là bao giờ?,Tôi không biết.
Thí sinh trúng tuyển (đợt 1) nhập học trước 17h 00 ngày 27/8/2024,Tôi không biết.
Địa chỉ trang thông tin điện tử của ĐHQGHN là gì?,http://dinhthai.hnu.edu.vn
Địa chỉ trang mạng xã hội của ĐHQGHN là gì?,facebook.com
Số điện thoại liên hệ của ĐHQGHN là gì?,0903.383.111
ĐHQGHN có bao nhiêu sinh viên đang học tại các đơn vị đào tạo theo hình thức đào tạo chính quy?,10.000
Trường Đại học Khoa học Xã hội và Nhân văn (ĐHQGHN) được thành lập vào năm nào?,1960
Số lượng chương trình đào tạo tại Trường Đại học Khoa học Xã hội và Nhân văn (ĐHQGHN) là bao nhiêu?,12 chuyên ngành.
"Số lượng quốc gia có trường Đại học, Trung tâm nghiên cứu khoa học và tổ chức Giáo dục hợp tác với Trường Đại học Khoa học Xã hội và Nhân văn (ĐHQGHN) là bao nhiêu?",Tôi không biết.
"Số lượng cán bộ, sinh viên học tập, nghiên cứu, trao đổi quốc tế tại Trường Đại học Khoa học Xã hội và Nhân văn (ĐHQGHN) là khoảng bao nhiêu?",Tôi không biết.
Địa chỉ của Trường Đại học Khoa học Xã hội và Nhân văn (ĐHQGHN) là ở đâu?,"34-36 Quang Trung, Phường Hoàn Kiếm, Thành phố Hà Nội, Việt Nam."
"Số lượng sinh viên, học viên cao học và nghiên cứu sinh đang theo học tại Trường Đại học Khoa học Xã hội và Nhân văn (ĐHQGHN) là khoảng bao nhiêu?",40.000
Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội có hệ thống nào được công bố vào năm 2019?,Hệ thống đào tạo 2+2.
Số tiền học bổng ULIS-SNHU TALENT dành cho thủ khoa được công bố là bao nhiêu?,Tôi không biết.
Địa điểm được đề cập trong học bổng ULIS-SNHU TALENT là nơi nào?,Sài Gòn
Số suất học bổng được đề cập trong thông báo là bao nhiêu?,Tôi không biết.
Địa chỉ của Trường Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội là nơi nào?,"Trường Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội, 1 đường Láng Hạ, phường Láng Thượng, quận Tây Hồ, Hà Nội."
Kỳ thi tuyển sinh vào lớp 10 sẽ diễn ra vào ngày nào?,Tôi không biết.
Số học sinh lớp 9 năm học 2022-2023 tại Hà Nội là bao nhiêu?,Tôi không biết.
Tỷ lệ học sinh có cơ hội đỗ vào lớp 10 công lập tại Hà Nội năm nay chiếm bao nhiêu?,Tôi không biết.
Số chỉ tiêu học sinh vào trường THPT công lập tại Hà Nội năm nay tăng thêm bao nhiêu so với năm trước?,Tôi không biết.
Kỳ nghỉ lễ 30/4 – 1/5 năm nay kéo dài bao nhiêu ngày?,15 ngày.
Số học sinh có cơ hội đỗ vào lớp 10 công lập chiếm tỷ lệ thấp nhất trong 4 năm trở lại đây là năm nào?,2019
"Số chỉ tiêu vào trường THPT công lập tự chủ và tư thục, trung tâm GDNN - GDTX và các cơ sở giáo dục nghề nghiệp tại Hà Nội là bao nhiêu?",Tôi không biết.
Trường Khoa học liên ngành và Nghệ thuật - Đại học Quốc gia Hà Nội có địa chỉ ở đâu?,"68 Láng Thượng, Ba Đình, Hà Nội."
Số điện thoại của Trường Khoa học liên ngành và Nghệ thuật - Đại học Quốc gia Hà Nội là?,(02) 3844 3333
Email của Trường Khoa học liên ngành và Nghệ thuật - Đại học Quốc gia Hà Nội là?,kgln@duoc.edu.vn
Đại học Quốc gia Hà Nội có tên viết tắt là?,UNIV
Trường Khoa học liên ngành và Nghệ thuật - Đại học Quốc gia Hà Nội có trang Facebook là?,Facebook
Số năm thành lập của Đại học Carnegie Mellon là?,1929
Địa điểm tổ chức của Trường Khoa học liên ngành và Nghệ thuật - Đại học Quốc gia Hà Nội là?,Trung tâm Văn hóa Sư phạm.
Số điện thoại liên hệ của Trường Khoa học liên ngành và Nghệ thuật - Đại học Quốc gia Hà Nội là?,0903 333 444
Đại học Quốc gia Hà Nội có tên tiếng Anh là gì?,University of Nations of Vietnam
Địa chỉ của Trường Đại học Quốc gia Hà Nội là ở đâu?,"62-64 Trần Hưng Đạo, phường Đống Đa, quận Đống Đa, Hà Nội."
Thời gian xét tuyển đợt 1 của Trường Đại học Quốc gia Hà Nội là từ khi nào đến khi nào?,Thời gian xét tuyển đợt 1 của Trường Đại học Quốc gia Hà Nội là tháng 7 đến tháng 8.
Hồ sơ xét tuyển của Trường Đại học Quốc gia Hà Nội bao gồm những giấy tờ nào?,"Giấy tờ cần thiết: Bằng cấp, Chứng minh nhân dân, Đơn xin, Hộ chiếu, Kết quả học tập, Tờ khai, Văn bản giới thiệu, Văn bản xác nhận."
Trường Đại học Quốc gia Hà Nội tuyển sinh trong phạm vi cả nước và quốc tế?,"Đúng, tuyển sinh cả nước và quốc tế."
Phương thức xét tuyển của Trường Đại học Quốc gia Hà Nội bao gồm những phương thức nào?,"Đồng tác giả, học bổng, tuyển sinh xét tuyển dựa trên kết quả thi THPT, tuyển chọn có điều kiện, xét tuyển dựa trên kết quả học tập, xét tuyển dựa trên kết quả thi học lớp 12."
Chỉ tiêu tuyển sinh của Trường Đại học Quốc gia Hà Nội năm 2020 là khoảng bao nhiêu?,5.000
Học phí dự kiến của Trường Đại học Quốc gia Hà Nội đối với sinh viên chính quy chuẩn là bao nhiêu?,Tôi không biết.
Thời gian xét tuyển đợt bổ sung của Trường Đại học Quốc gia Hà Nội dự kiến từ khi nào đến khi nào?,Thời gian xét tuyển đợt bổ sung của Trường Đại học Quốc gia Hà Nội thường là tháng 6 đến tháng 7 hàng năm.
"Trường Đại học Quốc gia Hà Nội xét tuyển thẳng, ưu tiên xét tuyển cho những đối tượng nào?","Giáo viên có trình độ, sinh viên có chứng chỉ ngoại ngữ, người có chứng chỉ ngoại ngữ, người có chứng chỉ ngoại ngữ."
Đại học Quốc gia Hà Nội (ĐHQGHN) được thành lập vào năm nào?,1940
Đại học Quốc gia Hà Nội có bao nhiêu trường đại học thành viên?,7
Website kỷ niệm 100 năm ĐHQGHN được ra mắt vào năm nào?,2022
"Đại học Quốc gia Hà Nội có trụ sở chính tại khu đô thị ĐHQGHN tại Hoà Lạc, Thạch Thất, Hà Nội hay không?",Không.
Đại học Quốc gia Hà Nội có giấy phép số 993/GP-TTĐT ngày 20/3/2020 của Sở Thông tin và Truyền thông Hà Nội hay không?,Không.
"Đại học Quốc gia Hà Nội có khu đô thị ĐHQGHN tại Hoà Lạc, Thạch Thất, Hà Nội hay không?",Có
Đại học Quốc gia Hà Nội có trụ sở chính tại Hà Nội hay không?,Có
Đại học Quốc gia Hà Nội có nhiều cơ sở tại Hà Nội hay không?,Có
"Đại học Quốc gia Hà Nội có nhiều cơ sở tại khu đô thị ĐHQGHN tại Hoà Lạc, Thạch Thất, Hà Nội hay không?",Có.
"Trường Đại học Khoa học Xã hội và Nhân văn, ĐHQGHN thông báo kế hoạch tuyển sinh đại học hệ chính quy các chương trình đào tạo (CTĐT) ngành thứ hai năm 2024 (đợt 2) vào ngày nào?",Tháng 8
Kỳ thi Olympic bậc THPT của Đại học Quốc gia Hà Nội cho các môn Ngữ văn và Lịch sử diễn ra vào ngày nào?,2010
Vị trí Quán quân của Vòng Chung kết “Đại sứ Văn hóa Du lịch sinh viên năm 2024” là ai?,Học sinh.
"Chương trình Tiến sĩ chuyên ngành Tiếng Việt và Nghiên cứu Việt Nam bắt đầu tuyển sinh tại Trường Đại học Khoa học Xã hội và Nhân văn, ĐHQGHN từ kỳ tuyển sinh đợt 2 năm 2024 vào ngày nào?",Tôi không biết.
"Học viên sau khi tốt nghiệp thạc sĩ có khả năng phân tích được hệ thống chính sách và kiến thức liên ngành làm cơ sở triển khai hoạt động nghiên cứu, tư vấn chính sách phù hợp với thực tiễn pháp lý và bối cảnh đời sống xã hội Việt Nam trong môi trường toàn cầu vào lĩnh vực nào?","Nghiên cứu, tư vấn chính sách."
Hội đồng tuyển sinh đại học chính quy năm 2024 trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội thông báo mức điểm trúng tuyển đại học chính quy phương thức xét tuyển kết quả thi tốt nghiệp THPT (100) năm 2024 vào ngày nào?,13/7
Trường Đại học Khoa học Xã hội và Nhân văn (KHXH&NV) - Đại học Quốc gia Hà Nội thông báo kết quả thi tuyển sinh lớp 10 Trường THPT Chuyên KHXH&NV năm 2024 vào ngày nào?,Tôi không biết.
Trường Đại học Việt Nhật (VJU) có trụ sở tại thành phố nào?,Thành phố Gia Lâm.
VJU có cơ sở thứ hai ở địa điểm nào?,"VJU có cơ sở thứ hai ở Bagramian, Armenia."
VJU có hotline nào để liên hệ?,VJU có hotline 024 3774 5555
VJU có địa chỉ email nào để liên hệ?,vuij@vju.edu.vn
VJU có cơ sở thứ hai ở địa điểm nào?,VJU có cơ sở thứ hai ở Vũng Tàu.
VJU có hotline nào để liên hệ?,VJU có hotline 024 3774 4444
VJU có địa chỉ email nào để liên hệ?,vju.hnu.edu.vn
"VJU có trụ sở tại đường Lưu Hữu Phước, Cầu Diễn, Nam Từ Liêm, Hà Nội.",VJU
VJU có hotline nào để liên hệ?,0903.880.880
VJU có địa chỉ email nào để liên hệ?,VJU (Trường Đại học Sư phạm Hà Nội) có địa chỉ email liên hệ: vju@vju.edu.vn.
"VJU có trụ sở tại đường Lưu Hữu Phước, Cầu Diễn, Nam Từ Liêm, Hà Nội.",Đại học Sư phạm Hà Nội (VJU)
VJU có hotline nào để liên hệ?,Vietnam-Japan University (VJU)
VJU có địa chỉ email nào để liên hệ?,vuj@hnu.edu.vn
"VJU có trụ sở tại đường Lưu Hữu Phước, Cầu Diễn, Nam Từ Liêm, Hà Nội.","VJU không phải là trường đại học mà bạn đang tìm kiếm, nhưng có thể là Trường ĐH Sư phạm Hà Nội (ĐH Sư phạm Hà Nội) hoặc trường ĐH Sư phạm Hà Nội nằm tại đường Lưu H"
VJU có hotline nào để liên hệ?,VJU có hotline 024 3866 1111.
Đại học Quốc gia Hà Nội (ĐHQGHN) được thành lập theo Nghị định số 97/CP ngày 10 tháng 12 năm 1993 của Chính phủ.,ĐHQGHN được thành lập theo Nghị định số 97/CP ngày 10 tháng 12 năm 1993 của Chính phủ.
ĐHQGHN chính thức bước vào hoạt động theo Quy chế do Thủ tướng Chính phủ ban hành ngày 5/9/1994.,Quy chế này được ban hành ngày 5/9/1994
Thành lập Trường Đại học Công nghệ trên cơ sở nâng cấp và phát triển Khoa Công nghệ.,1993
Thành lập Trường Đại học Kinh tế trên cơ sở nâng cấp Khoa Kinh tế.,1988
Thành lập Viện Việt Nam học và Khoa học Phát triển trên cơ sở Trung tâm nghiên cứu Việt Nam và Giao lưu văn hóa.,1999
ĐHQGHN có bao nhiêu trường đại học?,7
ĐHQGHN có bao nhiêu viện nghiên cứu?,Bốn.
ĐHQGHN có bao nhiêu trung tâm đào tạo và nghiên cứu?,21
ĐHQGHN có bao nhiêu đơn vị phục vụ đào tạo?,11 đơn vị
Đại học Quốc gia Hà Nội (ĐHQGHN) có trụ sở chính tại địa điểm nào?,"Cầu Giấy, Hà Nội."
Trường Quốc tế hiện đang đào tạo bao nhiêu chương trình cử nhân liên kết với các trường đại học đối tác nước ngoài uy tín?,"Tính đến thời điểm kiến thức của tôi được cập nhật lần cuối vào tháng 4 năm 2023, trường Quốc tế ĐHKN đào tạo 6 chương trình liên kết."
Thời lượng thiết kế của khóa học từ bao lâu đến bao lâu?,Tôi không biết.
Ngôn ngữ giảng dạy của chương trình là tiếng gì?,Tiếng Anh và tiếng Việt
Cơ sở Xuân Thuỷ của Trường Quốc tế có địa chỉ tại đâu?,"Cơ sở Xuân Thuỷ của Trường Quốc tế nằm tại 1 Xuân Thuỷ, phường Xuân Phương, quận Đống Đa, Hà Nội."
Số điện thoại của Trường Quốc tế là số nào?,I. Trường Quốc tế Hà Nội
Email của Trường Quốc tế là địa chỉ nào?,giai123@fpt.edu.vn
Đại học Quốc gia Hà Nội có địa chỉ tại đâu?,"Địa chỉ của Đại học Quốc gia Hà Nội là 1 đường 18, phường Việt Tiến, quận Đống Đa, Hà Nội."
Đại học Quốc gia Hà Nội di chuyển trụ sở làm việc từ Cầu Giấy tới Hòa Lạc vào ngày nào?,2011
"Đại học Quốc gia Hà Nội tổ chức tọa đàm ""Định hướng chiến lược nghiên cứu khoa học và đào tạo nhân lực ngành công nghiệp bán dẫn"" vào ngày nào?",Tôi không biết.
Bà Nguyễn Bích Yến làm Chủ tịch danh dự Viện Bán dẫn và Vật liệu tiên tiến từ ngày nào?,Tôi không biết.
Số lượng tác phẩm đoạt giải Cuộc thi chính luận về bảo vệ nền tảng tư tưởng của Đảng năm 2025 cấp ĐHQGHN là bao nhiêu?,Tôi không biết.
"Số lượng học bổng ""Ươm tạo nhà khoa học trẻ KBSV-ĐHQGHN"" năm học 2024-2025 được trao cho sinh viên là bao nhiêu?",Tôi không biết.
Địa chỉ của khu đô thị ĐHQGHN tại Hòa Lạc là ở đâu?,Hà Nội
Trường Đại học Giáo dục ở đâu?,Đại học Quốc gia Hà Nội
Trường Đại học Giáo dục có bao nhiêu phòng chức năng?,Tôi không biết.
"Năm học nào, Trường Đại học Giáo dục ban hành Kế hoạch đào tạo năm học 2024-2025 cho sinh viên đại học hệ chính quy khoá QH-2024-S?",Tôi không biết.
Trường Đại học Giáo dục có bao nhiêu quyết định về việc ban hành quy chế đào tạo đại học?,Tôi không biết.
Trường Đại học Giáo dục có bao nhiêu thông báo về việc tổ chức thi kết thúc học phần dành cho sinh viên đại học chính quy?,Tôi không biết.
Trường Đại học Giáo dục có bao nhiêu danh sách phòng phỏng vấn sau đại học?,Tôi không biết.
Trường Đại học Giáo dục có bao nhiêu thông báo về việc giới thiệu danh sách thành viên Hội đồng Giáo sư cơ sở?,Tôi không biết.
Trường Đại học Giáo dục có bao nhiêu thông báo về việc tổ chức đánh giá luận án tiến sĩ?,Tôi không biết.
Trường Đại học Giáo dục có bao nhiêu thông báo về việc tổ chức bảo vệ luận án cấp Đại học Quốc gia?,Tôi không biết.
Trường Đại học Giáo dục có bao nhiêu thông báo về việc thu hồ sơ xét tốt nghiệp?,Tôi không biết.
"Trường Đại học Khoa học Xã hội và Nhân văn, ĐHQGHN (VNU-USSH) tổ chức Lễ trao Quyết định Ban hành và giao nhiệm vụ Đào tạo Chương trình trình độ Tiến sĩ ngành Việt Nam học vào ngày nào?",Tôi không biết.
Căn cứ Quy chế đào tạo tiến sĩ ở Đại học Quốc gia Hà Nội được ban hành kèm theo Quyết định số nào?,Quyết định 128/2018/QĐ-TU
"Địa chỉ của Trường Đại học Khoa học Xã hội và Nhân văn, ĐHQGHN là đâu?","64-66 Nguyễn Văn Cừ, Q. Ba Đình, Hà Nội."
Năm nào Trường Đại học Khoa học Xã hội và Nhân văn được thành lập?,1973
"Địa chỉ email của Trường Đại học Khoa học Xã hội và Nhân văn, ĐHQGHN là gì?",trungvan@ds.hnu.edu.vn
Trường Đại học Việt Nhật được thành lập năm nào?,1966
Địa chỉ của Trường Đại học Việt Nhật tại Hà Nội là gì?,"Trường Đại học Việt Nhật, Hà Nội"
Số điện thoại của Trường Đại học Việt Nhật là gì?,Tôi không biết.
Email của Trường Đại học Việt Nhật là gì?,vietj@hnu.edu.vn
Tên của Hiệu trưởng Trường Đại học Việt Nhật là gì?,Tôi không biết.
Số lượng sinh viên quốc tế tại Trường Đại học Việt Nhật là bao nhiêu?,Tôi không biết.
Số lượng chương trình đào tạo tại Trường Đại học Việt Nhật là bao nhiêu?,Tôi không biết.
Địa chỉ của Cơ sở Mỹ Đình của Trường Đại học Việt Nhật là gì?,"Cơ sở Mỹ Đình của Trường Đại học Việt Nhật nằm tại số 1, phố Láng Hạ, phường Láng Thượng, quận Tây Hồ, Hà Nội."
Địa chỉ của Cơ sở Hòa Lạc của Trường Đại học Việt Nhật là gì?,"Cơ sở Hòa Lạc của Trường Đại học Việt Nhật nằm tại 1 đường Hòa Lạc, phường Gia Lâm, quận Đống Đa, Hà Nội."
Trường Đại học Khoa học Xã hội và Nhân văn (VNU-USSH) tổ chức Kỳ thi Olympic bậc THPT các môn Ngữ văn và Lịch sử vào ngày nào?,Tôi không biết.
VNU-USSH đào tạo chương trình mới: Tiến sĩ chuyên ngành Tiếng Việt và Nghiên cứu Việt Nam bắt đầu tuyển sinh từ kỳ tuyển sinh đợt 2 năm 2024.,VNU-USSH
"Học viên sau khi tốt nghiệp thạc sĩ có khả năng phân tích được hệ thống chính sách và kiến thức liên ngành làm cơ sở triển khai hoạt động nghiên cứu, tư vấn chính sách phù hợp với thực tiễn pháp lý và bối cảnh đời sống xã hội Việt Nam trong môi trường toàn cầu.",Trung tâm Nghiên cứu Chính sách và Hợp tác Quốc tế (COPES)
Trường ĐH KHXH&NV tổ chức thành công Kỳ thi Olympic bậc THPT của ĐHQGHN năm 2024.,Tôi không biết.
VNU-USSH đào tạo chương trình mới: Tiến sĩ chuyên ngành Tiếng Việt và Nghiên cứu Việt Nam.,VNU-USSH
VNU-USSH đào tạo chương trình mới: Tiến sĩ chuyên ngành Tiếng Việt và Nghiên cứu Việt Nam bắt đầu tuyển sinh từ kỳ tuyển sinh đợt 2 năm 2024.,Kết hợp với trường Đại học Sư phạm Hà Nội.
VNU-USSH đào tạo chương trình mới: Tiến sĩ chuyên ngành Tiếng Việt và Nghiên cứu Việt Nam bắt đầu tuyển sinh từ kỳ tuyển sinh đợt 2 năm 2024.,Đức Thịnh
VNU-USSH đào tạo chương trình mới: Tiến sĩ chuyên ngành Tiếng Việt và Nghiên cứu Việt Nam bắt đầu tuyển sinh từ kỳ tuyển sinh đợt 2 năm 2024.,"Ứng trình ""Tiến sĩ chuyên ngành Tiếng Việt và Nghiên cứu Việt Nam"""
VNU-USSH đào tạo chương trình mới: Tiến sĩ chuyên ngành Tiếng Việt và Nghiên cứu Việt Nam bắt đầu tuyển sinh từ kỳ tuyển sinh đợt 2 năm 2024.,Ứng viên có thể đăng ký xét tuyển theo quy định.
VNU-USSH đào tạo chương trình mới: Tiến sĩ chuyên ngành Tiếng Việt và Nghiên cứu Việt Nam bắt đầu tuyển sinh từ kỳ tuyển sinh đợt 2 năm 2024.,Đại học Quốc gia Hà Nội và Đại học Sư phạm Sư Phù có liên kết đào tạo chương trình Tiến sĩ chuyên ngành Tiếng Việt và Nghiên cứu Việt Nam.
Trường ĐHKHTN - ĐHQGHN được thành lập từ năm nào?,1951
Địa chỉ của Trường ĐHKHTN - ĐHQGHN là ở đâu?,"Địa chỉ của Trường ĐHKHTN - ĐHQGHN là 144 Tôn Đức Thắng, phường Gia Lâm, quận Hai Bà Trưng, Hà Nội."
Điện thoại của Trường ĐHKHTN - ĐHQGHN là số nào?,Tôi không biết.
Năm nào Trường ĐHKHTN - ĐHQGHN tổ chức hội thảo quốc tế về Sinh học từ hệ sinh thái rừng?,Tôi không biết.
Email của Trường ĐHKHTN - ĐHQGHN là gì?,hdkhtn.hnu.edu.vn
Địa chỉ website của Trường ĐHKHTN - ĐHQGHN là gì?,http://dakhocte.hnu.edu.vn
Fax của Trường ĐHKHTN - ĐHQGHN là số nào?,Tôi không biết.
Tên của trường đại học đầu tiên và lớn nhất của đất nước là gì?,Đại học Sư phạm Hà Nội
Tên của trường đại học lớn nhất ở Pittsburgh là gì?,Câu lạc bộ Thể thao Pittsburgh
Trường Đại học Việt Nhật được thành lập theo Quyết định nào của Thủ tướng Chính phủ Việt Nam?,Quyết định 1402/1998/QĐTP
Trường Đại học Việt Nhật được định hướng phát triển theo mô hình đại học nghiên cứu như thế nào?,"Trên cơ sở mô hình đại học nghiên cứu của Đại học California, Berkeley và Đại học Tokyo, với đặc điểm là đào tạo cử nhân và thạc sĩ và nghiên cứu khoa học, công nghệ và nhân văn."
